FEN,Evaluation
5r2/p2r3k/R5Rp/2p2pp1/1pN5/1P2B1P1/2B1KP2/7q b - - 5 40,"{'type': 'cp', 'value': 0}"
5r2/p2r3k/R5Rp/2p2ppq/1pN5/1P2B1P1/2B1KP2/8 w - - 6 41,"{'type': 'cp', 'value': 0}"
5r2/p2r3k/R5Rp/2p2ppq/1pN5/1P2B1P1/2B2P2/5K2 b - - 7 41,"{'type': 'cp', 'value': 0}"
5r2/p2r3k/R5Rp/2p2pp1/1pN5/1P2B1P1/2B2P2/5K1q w - - 8 42,"{'type': 'cp', 'value': 0}"
5r2/p2r3k/R5Rp/2p2pp1/1pN5/1P2B1P1/2B1KP2/7q b - - 9 42,"{'type': 'cp', 'value': 0}"
3r1r2/p6k/R5Rp/2p2pp1/1pN5/1P2B1P1/2B1KP2/7q w - - 10 43,"{'type': 'cp', 'value': 292}"
3r1r2/p6k/R5Rp/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q b - - 11 43,"{'type': 'cp', 'value': 285}"
1r3r2/p6k/R5Rp/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q w - - 12 44,"{'type': 'cp', 'value': 331}"
1r3r2/p6k/R3R2p/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q b - - 13 44,"{'type': 'cp', 'value': 470}"
1r3r2/p5k1/R3R2p/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q w - - 14 45,"{'type': 'cp', 'value': 803}"
1r3r2/p3R1k1/R6p/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q b - - 15 45,"{'type': 'cp', 'value': 698}"
1r3rk1/p3R3/R6p/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q w - - 16 46,"{'type': 'cp', 'value': 834}"
1r3rk1/p3R3/6Rp/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q b - - 17 46,"{'type': 'cp', 'value': 867}"
1r3r1k/p3R3/6Rp/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q w - - 18 47,"{'type': 'cp', 'value': 723}"
1r3r1k/p3R1R1/7p/2p1Npp1/1p6/1P2B1P1/2B1KP2/7q b - - 19 47,"{'type': 'cp', 'value': 856}"
1r3r1k/p3R1R1/7p/2p1Npp1/1p6/1P2B1P1/2B1KP2/5q2 w - - 20 48,"{'type': 'mate', 'value': 6}"
1r3r1k/p3R1R1/7p/2p1Npp1/1p6/1P2BKP1/2B2P2/5q2 b - - 21 48,"{'type': 'cp', 'value': 842}"
1r3r1k/p3R1R1/7p/2p1Np2/1p4p1/1P2BKP1/2B2P2/5q2 w - - 0 49,"{'type': 'mate', 'value': 8}"
1r3r1k/p3R1R1/7p/2p1Np2/1p3Kp1/1P2B1P1/2B2P2/5q2 b - - 1 49,"{'type': 'mate', 'value': 8}"
1r3r1k/p3R1R1/7p/2p1Np2/1p3Kp1/1P2B1P1/2B2q2/8 w - - 0 50,"{'type': 'mate', 'value': 6}"
1r3r1k/p3R1R1/7p/2p1Np2/1p3Kp1/1P4P1/2B2B2/8 b - - 0 50,"{'type': 'mate', 'value': 5}"
1r5k/p3RrR1/7p/2p1Np2/1p3Kp1/1P4P1/2B2B2/8 w - - 1 51,"{'type': 'mate', 'value': 3}"
1r5k/p3RR2/7p/2p1Np2/1p3Kp1/1P4P1/2B2B2/8 b - - 0 51,"{'type': 'mate', 'value': 2}"
