FEN,Evaluation
4B3/7R/4p2p/3p2k1/3P2Pp/P3KP2/8/7r b - - 7 48,"{'type': 'cp', 'value': 330}"
4B3/7R/4p2p/3p2k1/3P2P1/P3KP1p/8/7r w - - 0 49,"{'type': 'cp', 'value': 322}"
4B3/7R/4p2p/3p2k1/3P2P1/P4P1p/5K2/7r b - - 1 49,"{'type': 'cp', 'value': 321}"
4B3/7R/4p3/3p2kp/3P2P1/P4P1p/5K2/7r w - - 0 50,"{'type': 'cp', 'value': 406}"
8/7R/4p3/3p2kB/3P2P1/P4P1p/5K2/7r b - - 0 50,"{'type': 'cp', 'value': 375}"
8/7R/8/3pp1kB/3P2P1/P4P1p/5K2/7r w - - 0 51,"{'type': 'cp', 'value': 417}"
8/7R/8/3pP1kB/6P1/P4P1p/5K2/7r b - - 0 51,"{'type': 'cp', 'value': 428}"
8/7R/8/3pP1kB/6P1/P4P2/5K1p/7r w - - 0 52,"{'type': 'cp', 'value': 813}"
8/5B1R/8/3pP1k1/6P1/P4P2/5K1p/7r b - - 1 52,"{'type': 'cp', 'value': 988}"
8/5B1R/8/3pP3/5kP1/P4P2/5K1p/7r w - - 2 53,"{'type': 'cp', 'value': 896}"
8/5B2/8/3pP2R/5kP1/P4P2/5K1p/7r b - - 3 53,"{'type': 'cp', 'value': 801}"
8/5B2/8/3pP2R/5kP1/P4P2/5K1p/5r2 w - - 4 54,"{'type': 'cp', 'value': 729}"
8/5B2/8/3pP2R/5kP1/P4P2/7p/5K2 b - - 0 54,"{'type': 'cp', 'value': 784}"
8/5B2/8/3pP2R/6P1/P4k2/7p/5K2 w - - 0 55,"{'type': 'cp', 'value': 944}"
8/5B2/4P3/3p3R/6P1/P4k2/7p/5K2 b - - 0 55,"{'type': 'mate', 'value': 14}"
8/5B2/4P3/3p3R/6P1/P4k2/8/5K1q w - - 0 56,"{'type': 'cp', 'value': 931}"
8/5B2/4P3/3p4/6P1/P4k2/8/5K1R b - - 0 56,"{'type': 'mate', 'value': 11}"
8/5B2/4P3/3p4/6k1/P7/8/5K1R w - - 0 57,"{'type': 'mate', 'value': 12}"
8/5B1R/4P3/3p4/6k1/P7/8/5K2 b - - 1 57,"{'type': 'mate', 'value': 10}"
8/5B1R/4P3/3p2k1/8/P7/8/5K2 w - - 2 58,"{'type': 'mate', 'value': 6}"
6B1/7R/4P3/3p2k1/8/P7/8/5K2 b - - 3 58,"{'type': 'mate', 'value': 10}"
6B1/7R/4P1k1/3p4/8/P7/8/5K2 w - - 4 59,"{'type': 'mate', 'value': 10}"
6B1/7R/4P1k1/3p4/8/P7/8/4K3 b - - 5 59,"{'type': 'mate', 'value': 11}"
6B1/7R/4P3/3p1k2/8/P7/8/4K3 w - - 6 60,"{'type': 'mate', 'value': 10}"
6B1/7R/4P3/3p1k2/P7/8/8/4K3 b - - 0 60,"{'type': 'cp', 'value': 1258}"
6B1/7R/4P3/3p4/P4k2/8/8/4K3 w - - 1 61,"{'type': 'mate', 'value': 8}"
6B1/7R/4P3/P2p4/5k2/8/8/4K3 b - - 0 61,"{'type': 'mate', 'value': 11}"
6B1/7R/4P3/P2p4/8/4k3/8/4K3 w - - 1 62,"{'type': 'mate', 'value': 8}"
6B1/8/4P3/P2p4/8/4k2R/8/4K3 b - - 2 62,"{'type': 'mate', 'value': 12}"
6B1/8/4P3/P2p4/4k3/7R/8/4K3 w - - 3 63,"{'type': 'mate', 'value': 8}"
6B1/8/4P3/P2p4/4k3/7R/8/3K4 b - - 4 63,"{'type': 'mate', 'value': 12}"
6B1/8/4P3/P2p4/5k2/7R/8/3K4 w - - 5 64,"{'type': 'mate', 'value': 13}"
6B1/8/P3P3/3p4/5k2/7R/8/3K4 b - - 0 64,"{'type': 'mate', 'value': 13}"
6B1/8/P3P3/8/3p1k2/7R/8/3K4 w - - 0 65,"{'type': 'cp', 'value': 1475}"
6B1/4P3/P7/8/3p1k2/7R/8/3K4 b - - 0 65,"{'type': 'mate', 'value': 11}"
6B1/4P3/P7/6k1/3p4/7R/8/3K4 w - - 1 66,"{'type': 'mate', 'value': 7}"
4R1B1/8/P7/6k1/3p4/7R/8/3K4 b - - 0 66,"{'type': 'mate', 'value': 8}"
4R1B1/8/P7/6k1/8/3p3R/8/3K4 w - - 0 67,"{'type': 'mate', 'value': 7}"
4R1B1/8/P7/6k1/8/3p2R1/8/3K4 b - - 1 67,"{'type': 'mate', 'value': 7}"
4R1B1/8/P7/5k2/8/3p2R1/8/3K4 w - - 2 68,"{'type': 'mate', 'value': 4}"
4R1B1/8/P7/5k2/8/3p1R2/8/3K4 b - - 3 68,"{'type': 'mate', 'value': 7}"
4R1B1/8/P7/6k1/8/3p1R2/8/3K4 w - - 4 69,"{'type': 'mate', 'value': 9}"
4R1B1/8/P7/6k1/8/3p2R1/8/3K4 b - - 5 69,"{'type': 'mate', 'value': 9}"
4R1B1/8/P7/8/5k2/3p2R1/8/3K4 w - - 6 70,"{'type': 'mate', 'value': 5}"
4R1B1/8/P7/8/5k2/3R4/8/3K4 b - - 0 70,"{'type': 'mate', 'value': 8}"
4R1B1/8/P7/8/6k1/3R4/8/3K4 w - - 1 71,"{'type': 'mate', 'value': 4}"
4R3/8/P7/8/6k1/1B1R4/8/3K4 b - - 2 71,"{'type': 'mate', 'value': 5}"
4R3/8/P7/5k2/8/1B1R4/8/3K4 w - - 3 72,"{'type': 'mate', 'value': 5}"
8/8/P7/5k2/8/1B1RR3/8/3K4 b - - 4 72,"{'type': 'mate', 'value': 6}"
8/8/P4k2/8/8/1B1RR3/8/3K4 w - - 5 73,"{'type': 'mate', 'value': 5}"
8/8/P3Rk2/8/8/1B1R4/8/3K4 b - - 6 73,"{'type': 'mate', 'value': 4}"
8/5k2/P3R3/8/8/1B1R4/8/3K4 w - - 7 74,"{'type': 'mate', 'value': 3}"
8/5k2/P7/8/4R3/1B1R4/8/3K4 b - - 8 74,"{'type': 'mate', 'value': 4}"
8/6k1/P7/8/4R3/1B1R4/8/3K4 w - - 9 75,"{'type': 'mate', 'value': 4}"
8/6k1/P7/8/4R3/1B4R1/8/3K4 b - - 10 75,"{'type': 'mate', 'value': 3}"
8/8/P4k2/8/4R3/1B4R1/8/3K4 w - - 11 76,"{'type': 'mate', 'value': 3}"
8/8/P4k2/8/4R3/1B3R2/8/3K4 b - - 12 76,"{'type': 'mate', 'value': 4}"
8/8/P7/6k1/4R3/1B3R2/8/3K4 w - - 13 77,"{'type': 'mate', 'value': 4}"
8/8/P7/6k1/4R3/1B1R4/8/3K4 b - - 14 77,"{'type': 'mate', 'value': 5}"
8/8/P5k1/8/4R3/1B1R4/8/3K4 w - - 15 78,"{'type': 'mate', 'value': 5}"
8/P7/6k1/8/4R3/1B1R4/8/3K4 b - - 0 78,"{'type': 'mate', 'value': 3}"
8/P7/8/7k/4R3/1B1R4/8/3K4 w - - 1 79,"{'type': 'mate', 'value': 2}"
8/P7/8/4R2k/8/1B1R4/8/3K4 b - - 2 79,"{'type': 'mate', 'value': 3}"
8/P7/7k/4R3/8/1B1R4/8/3K4 w - - 3 80,"{'type': 'mate', 'value': 2}"
8/P7/7k/8/4R3/1B1R4/8/3K4 b - - 4 80,"{'type': 'mate', 'value': 3}"
8/P5k1/8/8/4R3/1B1R4/8/3K4 w - - 5 81,"{'type': 'mate', 'value': 3}"
8/P3R1k1/8/8/8/1B1R4/8/3K4 b - - 6 81,"{'type': 'mate', 'value': 4}"
8/P3R3/6k1/8/8/1B1R4/8/3K4 w - - 7 82,"{'type': 'mate', 'value': 4}"
8/P7/6k1/8/8/1B1RR3/8/3K4 b - - 8 82,"{'type': 'mate', 'value': 4}"
8/P7/8/7k/8/1B1RR3/8/3K4 w - - 9 83,"{'type': 'mate', 'value': 4}"
8/P7/8/4R2k/8/1B1R4/8/3K4 b - - 10 83,"{'type': 'mate', 'value': 3}"
8/P7/6k1/4R3/8/1B1R4/8/3K4 w - - 11 84,"{'type': 'mate', 'value': 3}"
8/P7/4R1k1/8/8/1B1R4/8/3K4 b - - 12 84,"{'type': 'mate', 'value': 3}"
8/P7/4R3/7k/8/1B1R4/8/3K4 w - - 13 85,"{'type': 'mate', 'value': 3}"
3R4/P7/4R3/7k/8/1B6/8/3K4 b - - 14 85,"{'type': 'mate', 'value': 3}"
3R4/P7/4R3/6k1/8/1B6/8/3K4 w - - 15 86,"{'type': 'mate', 'value': 3}"
R2R4/8/4R3/6k1/8/1B6/8/3K4 b - - 0 86,"{'type': 'mate', 'value': 3}"
R2R4/8/4R3/8/5k2/1B6/8/3K4 w - - 1 87,"{'type': 'mate', 'value': 2}"
R7/8/4R3/8/3R1k2/1B6/8/3K4 b - - 2 87,"{'type': 'mate', 'value': 3}"
R7/8/4R3/8/3R4/1B3k2/8/3K4 w - - 3 88,"{'type': 'mate', 'value': 2}"
R7/8/4R3/3B4/3R4/5k2/8/3K4 b - - 4 88,"{'type': 'mate', 'value': 2}"
R7/8/4R3/3B4/3R4/6k1/8/3K4 w - - 5 89,"{'type': 'mate', 'value': 2}"
8/8/4R3/3B4/3R4/R5k1/8/3K4 b - - 6 89,"{'type': 'mate', 'value': 2}"
8/8/4R3/3B4/3R4/R7/7k/3K4 w - - 7 90,"{'type': 'mate', 'value': 2}"
8/8/4R3/3B4/8/R7/3R3k/3K4 b - - 8 90,"{'type': 'mate', 'value': 1}"
8/8/4R3/3B4/8/R7/3R4/3K2k1 w - - 9 91,"{'type': 'mate', 'value': 1}"
8/8/4R3/3B4/8/6R1/3R4/3K2k1 b - - 10 91,"{'type': 'mate', 'value': 1}"
8/8/4R3/3B4/8/6R1/3R4/3K1k2 w - - 11 92,"{'type': 'mate', 'value': 1}"
8/8/4R3/3B4/8/5R2/3R4/3K1k2 b - - 12 92,"{'type': 'mate', 'value': 1}"
8/8/4R3/3B4/8/5R2/3R4/3K2k1 w - - 13 93,"{'type': 'mate', 'value': 1}"
8/8/6R1/3B4/8/5R2/3R4/3K2k1 b - - 14 93,"{'type': 'mate', 'value': 1}"
8/8/6R1/3B4/8/5R2/3R4/3K3k w - - 15 94,"{'type': 'mate', 'value': 1}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 29}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 26}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 25}"
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 27}"
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 33}"
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,"{'type': 'cp', 'value': 22}"
r1bqkbnr/pppn1ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,"{'type': 'cp', 'value': 41}"
r1bqkbnr/pppn1ppp/4p3/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,"{'type': 'cp', 'value': 31}"
r1bqkbnr/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,"{'type': 'cp', 'value': 80}"
r1bqkbnr/ppp2ppp/4pn2/3p4/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq - 0 5,"{'type': 'cp', 'value': 69}"
r1bqkbnr/pp3ppp/2p1pn2/3p4/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 0 6,"{'type': 'cp', 'value': 78}"
r1bqkbnr/pp3ppp/2p1pn2/3p4/2PP4/2N2NP1/PPQ1PP1P/R1B1KB1R b KQkq - 1 6,"{'type': 'cp', 'value': 71}"
r1bqk1nr/pp3ppp/2p1pn2/3p4/1bPP4/2N2NP1/PPQ1PP1P/R1B1KB1R w KQkq - 2 7,"{'type': 'cp', 'value': 75}"
r1bqk1nr/pp3ppp/2p1pn2/3p4/1bPP4/2N2NP1/PPQ1PPBP/R1B1K2R b KQkq - 3 7,"{'type': 'cp', 'value': 81}"
r1bqk2r/pp2nppp/2p1pn2/3p4/1bPP4/2N2NP1/PPQ1PPBP/R1B1K2R w KQkq - 4 8,"{'type': 'cp', 'value': 79}"
r1bqk2r/pp2nppp/2p1pn2/3p4/1bPP4/P1N2NP1/1PQ1PPBP/R1B1K2R b KQkq - 0 8,"{'type': 'cp', 'value': 69}"
r1b1k2r/pp2nppp/2p1pn2/q2p4/1bPP4/P1N2NP1/1PQ1PPBP/R1B1K2R w KQkq - 1 9,"{'type': 'cp', 'value': 91}"
r1b1k2r/pp2nppp/2p1pn2/q2p4/1bPP4/P1N2NP1/1PQ1PPBP/R1B2RK1 b kq - 2 9,"{'type': 'cp', 'value': 90}"
r1b1k2r/pp2nppp/2p1pn2/q2p4/2PP4/P1b2NP1/1PQ1PPBP/R1B2RK1 w kq - 0 10,"{'type': 'cp', 'value': 78}"
r1b1k2r/pp2nppp/2p1pn2/q2p4/2PP4/P1Q2NP1/1P2PPBP/R1B2RK1 b kq - 0 10,"{'type': 'cp', 'value': 25}"
r1b1k2r/pp2nppp/1qp1pn2/3p4/2PP4/P1Q2NP1/1P2PPBP/R1B2RK1 w kq - 1 11,"{'type': 'cp', 'value': 141}"
r1b1k2r/pp2nppp/1qp1pn2/3p4/2PP4/PPQ2NP1/4PPBP/R1B2RK1 b kq - 0 11,"{'type': 'cp', 'value': 139}"
r1b2rk1/pp2nppp/1qp1pn2/3p4/2PP4/PPQ2NP1/4PPBP/R1B2RK1 w - - 1 12,"{'type': 'cp', 'value': 147}"
r1b2rk1/pp2nppp/1qp1pn2/3p4/P1PP4/1PQ2NP1/4PPBP/R1B2RK1 b - - 0 12,"{'type': 'cp', 'value': 141}"
r1b2rk1/1p2nppp/1qp1pn2/p2p4/P1PP4/1PQ2NP1/4PPBP/R1B2RK1 w - - 0 13,"{'type': 'cp', 'value': 152}"
r1b2rk1/1p2nppp/1qp1pn2/p2pN3/P1PP4/1PQ3P1/4PPBP/R1B2RK1 b - - 1 13,"{'type': 'cp', 'value': 129}"
r1b2rk1/1pq1nppp/2p1pn2/p2pN3/P1PP4/1PQ3P1/4PPBP/R1B2RK1 w - - 2 14,"{'type': 'cp', 'value': 152}"
r1b2rk1/1pq1nppp/2p1pn2/p2pN3/P1PP4/1PQ3P1/4PPBP/R1B1R1K1 b - - 3 14,"{'type': 'cp', 'value': 133}"
r1br2k1/1pq1nppp/2p1pn2/p2pN3/P1PP4/1PQ3P1/4PPBP/R1B1R1K1 w - - 4 15,"{'type': 'cp', 'value': 141}"
r1br2k1/1pq1nppp/2p1pn2/p2pN3/P1PP4/BPQ3P1/4PPBP/R3R1K1 b - - 5 15,"{'type': 'cp', 'value': 123}"
r1br2k1/1pq1nppp/2p1p3/p2pN3/P1PPn3/BPQ3P1/4PPBP/R3R1K1 w - - 6 16,"{'type': 'cp', 'value': 147}"
r1br2k1/1pq1nppp/2p1p3/p2pN3/P1PPn3/BP4P1/2Q1PPBP/R3R1K1 b - - 7 16,"{'type': 'cp', 'value': 140}"
r1br2k1/1pq1nppp/2p1pn2/p2pN3/P1PP4/BP4P1/2Q1PPBP/R3R1K1 w - - 8 17,"{'type': 'cp', 'value': 149}"
r1br2k1/1pq1nppp/2p1pn2/p2pN3/P1PP4/BP2P1P1/2Q2PBP/R3R1K1 b - - 0 17,"{'type': 'cp', 'value': 140}"
r1br2k1/1pq2ppp/2p1pnn1/p2pN3/P1PP4/BP2P1P1/2Q2PBP/R3R1K1 w - - 1 18,"{'type': 'cp', 'value': 129}"
r1br2k1/1pq2ppp/2p1pnn1/p2pN3/P1PP4/BP2P1P1/2Q2PBP/3RR1K1 b - - 2 18,"{'type': 'cp', 'value': 132}"
r2r2k1/1pqb1ppp/2p1pnn1/p2pN3/P1PP4/BP2P1P1/2Q2PBP/3RR1K1 w - - 3 19,"{'type': 'cp', 'value': 130}"
r2r2k1/1pqb1ppp/2p1pnn1/p2p4/P1PP4/BP2PNP1/2Q2PBP/3RR1K1 b - - 4 19,"{'type': 'cp', 'value': 121}"
2rr2k1/1pqb1ppp/2p1pnn1/p2p4/P1PP4/BP2PNP1/2Q2PBP/3RR1K1 w - - 5 20,"{'type': 'cp', 'value': 148}"
2rr2k1/1pqb1ppp/2p1pnn1/p2p4/P1PP4/BP2P1P1/2QN1PBP/3RR1K1 b - - 6 20,"{'type': 'cp', 'value': 131}"
2rr2k1/2qb1ppp/2p1pnn1/pp1p4/P1PP4/BP2P1P1/2QN1PBP/3RR1K1 w - - 0 21,"{'type': 'cp', 'value': 123}"
2rr2k1/2qb1ppp/2p1pnn1/ppPp4/P2P4/BP2P1P1/2QN1PBP/3RR1K1 b - - 0 21,"{'type': 'cp', 'value': 87}"
2rr2k1/2qbnppp/2p1pn2/ppPp4/P2P4/BP2P1P1/2QN1PBP/3RR1K1 w - - 1 22,"{'type': 'cp', 'value': 103}"
2rr2k1/2qbnppp/2p1pn2/ppPp4/P2PP3/BP4P1/2QN1PBP/3RR1K1 b - - 0 22,"{'type': 'cp', 'value': 70}"
2rr2k1/2qbnppp/2p1pn2/ppP5/P2Pp3/BP4P1/2QN1PBP/3RR1K1 w - - 0 23,"{'type': 'cp', 'value': 88}"
2rr2k1/2qbnppp/2p1pn2/ppP5/P2Pp3/1P4P1/2QN1PBP/2BRR1K1 b - - 1 23,"{'type': 'cp', 'value': 92}"
2rr2k1/2qbnppp/2p1pn2/ppP5/P2P4/1P2p1P1/2QN1PBP/2BRR1K1 w - - 0 24,"{'type': 'cp', 'value': 98}"
2rr2k1/2qbnppp/2p1pn2/ppP5/P2P4/1P2R1P1/2QN1PBP/2BR2K1 b - - 0 24,"{'type': 'cp', 'value': 90}"
2rr2k1/2qbnpp1/2p1pn1p/ppP5/P2P4/1P2R1P1/2QN1PBP/2BR2K1 w - - 0 25,"{'type': 'cp', 'value': 88}"
2rr2k1/2qbnpp1/2p1pn1p/ppP5/P2PN3/1P2R1P1/2Q2PBP/2BR2K1 b - - 1 25,"{'type': 'cp', 'value': 88}"
2rr2k1/2qbnpp1/2p1p2p/ppPn4/P2PN3/1P2R1P1/2Q2PBP/2BR2K1 w - - 2 26,"{'type': 'cp', 'value': 112}"
2rr2k1/2qbnpp1/2p1p2p/ppPn4/P2PN3/1P4P1/2Q1RPBP/2BR2K1 b - - 3 26,"{'type': 'cp', 'value': 84}"
2rr2k1/2qb1pp1/2p1p2p/ppPn1n2/P2PN3/1P4P1/2Q1RPBP/2BR2K1 w - - 4 27,"{'type': 'cp', 'value': 94}"
2rr2k1/2qb1pp1/2p1p2p/ppPn1n2/P2PN3/1P4P1/2Q1RP1P/2BR2KB b - - 5 27,"{'type': 'cp', 'value': 58}"
2rr2k1/2qb1pp1/2p1p2p/p1Pn1n2/p2PN3/1P4P1/2Q1RP1P/2BR2KB w - - 0 28,"{'type': 'cp', 'value': 75}"
2rr2k1/2qb1pp1/2p1p2p/p1Pn1n2/P2PN3/6P1/2Q1RP1P/2BR2KB b - - 0 28,"{'type': 'cp', 'value': 67}"
2r2rk1/2qb1pp1/2p1p2p/p1Pn1n2/P2PN3/6P1/2Q1RP1P/2BR2KB w - - 1 29,"{'type': 'cp', 'value': 80}"
2r2rk1/2qb1pp1/2p1p2p/p1Pn1n2/P2PN1P1/8/2Q1RP1P/2BR2KB b - - 0 29,"{'type': 'cp', 'value': 79}"
2r2rk1/2qb1pp1/2p1p2p/p1Pn4/P2PN1Pn/8/2Q1RP1P/2BR2KB w - - 1 30,"{'type': 'cp', 'value': 82}"
2r2rk1/2qb1pp1/2p1p2p/p1Pn2P1/P2PN2n/8/2Q1RP1P/2BR2KB b - - 0 30,"{'type': 'cp', 'value': 41}"
2r2rk1/2qb1pp1/2p1p3/p1Pn2p1/P2PN2n/8/2Q1RP1P/2BR2KB w - - 0 31,"{'type': 'cp', 'value': 35}"
2r2rk1/2qb1pp1/2p1p3/p1Pn2N1/P2P3n/8/2Q1RP1P/2BR2KB b - - 0 31,"{'type': 'cp', 'value': 30}"
2r2rk1/2qb1p2/2p1p1p1/p1Pn2N1/P2P3n/8/2Q1RP1P/2BR2KB w - - 0 32,"{'type': 'cp', 'value': 32}"
2r2rk1/2qb1p2/2p1p1p1/p1Pn4/P2PN2n/8/2Q1RP1P/2BR2KB b - - 1 32,"{'type': 'cp', 'value': 34}"
2r2rk1/2qb1p2/2p1p1p1/p1Pn1n2/P2PN3/8/2Q1RP1P/2BR2KB w - - 2 33,"{'type': 'cp', 'value': 40}"
2r2rk1/2qb1p2/2p1p1p1/p1Pn1n2/P2P4/6N1/2Q1RP1P/2BR2KB b - - 3 33,"{'type': 'cp', 'value': 25}"
2rq1rk1/3b1p2/2p1p1p1/p1Pn1n2/P2P4/6N1/2Q1RP1P/2BR2KB w - - 4 34,"{'type': 'cp', 'value': 27}"
2rq1rk1/3b1p2/2p1p1p1/p1Pn1n2/P2P4/3Q2N1/4RP1P/2BR2KB b - - 5 34,"{'type': 'cp', 'value': 31}"
2r2rk1/3b1p2/2p1p1p1/p1Pn1n2/P2P3q/3Q2N1/4RP1P/2BR2KB w - - 6 35,"{'type': 'cp', 'value': 25}"
2r2rk1/3b1p2/2p1p1p1/p1Pn1n2/P2PR2q/3Q2N1/5P1P/2BR2KB b - - 7 35,"{'type': 'cp', 'value': 34}"
2r2rkq/3b1p2/2p1p1p1/p1Pn1n2/P2PR3/3Q2N1/5P1P/2BR2KB w - - 8 36,"{'type': 'cp', 'value': 31}"
2r2rkq/3b1p2/2p1p1p1/p1Pn1N2/P2PR3/3Q4/5P1P/2BR2KB b - - 0 36,"{'type': 'cp', 'value': 20}"
2r2rkq/3b1p2/2p3p1/p1Pn1p2/P2PR3/3Q4/5P1P/2BR2KB w - - 0 37,"{'type': 'cp', 'value': 15}"
2r2rkq/3b1p2/2p3p1/p1Pn1p2/P2P4/3Q4/4RP1P/2BR2KB b - - 1 37,"{'type': 'cp', 'value': -22}"
2r2rk1/3b1p2/2p3p1/p1Pn1p2/P2P3q/3Q4/4RP1P/2BR2KB w - - 2 38,"{'type': 'cp', 'value': -26}"
2r2rk1/3b1p2/2p3p1/p1Pn1p2/P2P3q/6Q1/4RP1P/2BR2KB b - - 3 38,"{'type': 'cp', 'value': -68}"
2r2rk1/3b1p2/2p3p1/p1Pn1p2/P2P4/6q1/4RP1P/2BR2KB w - - 0 39,"{'type': 'cp', 'value': -60}"
2r2rk1/3b1p2/2p3p1/p1Pn1p2/P2P4/6P1/4RP2/2BR2KB b - - 0 39,"{'type': 'cp', 'value': -44}"
2r2rk1/5p2/2p1b1p1/p1Pn1p2/P2P4/6P1/4RP2/2BR2KB w - - 1 40,"{'type': 'cp', 'value': -11}"
2r2rk1/5p2/2p1b1pB/p1Pn1p2/P2P4/6P1/4RP2/3R2KB b - - 2 40,"{'type': 'cp', 'value': -7}"
2rr2k1/5p2/2p1b1pB/p1Pn1p2/P2P4/6P1/4RP2/3R2KB w - - 3 41,"{'type': 'cp', 'value': 17}"
2rr2k1/5p2/2p1b1pB/p1Pn1p2/P2P4/6P1/4RP2/R5KB b - - 4 41,"{'type': 'cp', 'value': -15}"
2rr2k1/5p2/2p1b1pB/p1P2p2/Pn1P4/6P1/4RP2/R5KB w - - 5 42,"{'type': 'cp', 'value': -14}"
2rr2k1/5p2/2p1b1pB/p1P2p2/Pn1P4/6P1/3R1P2/R5KB b - - 6 42,"{'type': 'cp', 'value': -52}"
2r3k1/3r1p2/2p1b1pB/p1P2p2/Pn1P4/6P1/3R1P2/R5KB w - - 7 43,"{'type': 'cp', 'value': -26}"
2r3k1/3r1p2/2p1b1pB/p1P2p2/Pn1P4/6P1/3R1P2/1R4KB b - - 8 43,"{'type': 'cp', 'value': -53}"
2r5/3r1p1k/2p1b1pB/p1P2p2/Pn1P4/6P1/3R1P2/1R4KB w - - 9 44,"{'type': 'cp', 'value': -6}"
2r5/3r1p1k/2p1b1p1/p1P2pB1/Pn1P4/6P1/3R1P2/1R4KB b - - 10 44,"{'type': 'cp', 'value': -22}"
2r5/3r1pk1/2p1b1p1/p1P2pB1/Pn1P4/6P1/3R1P2/1R4KB w - - 11 45,"{'type': 'cp', 'value': -30}"
2r5/3r1pk1/2p1b1p1/p1P2pB1/Pn1P4/6P1/5P2/1R1R2KB b - - 12 45,"{'type': 'cp', 'value': -13}"
2r5/3r1pk1/2p3p1/p1P2pB1/Pn1P4/6P1/b4P2/1R1R2KB w - - 13 46,"{'type': 'cp', 'value': 7}"
2r5/3r1pk1/2p3p1/p1P2pB1/Pn1P4/6P1/bR3P2/3R2KB b - - 14 46,"{'type': 'cp', 'value': 0}"
2r5/3r1pk1/2p1b1p1/p1P2pB1/Pn1P4/6P1/1R3P2/3R2KB w - - 15 47,"{'type': 'cp', 'value': 26}"
2r5/3r1pk1/2p1b1p1/p1P2pB1/Pn1P4/6P1/5P2/1R1R2KB b - - 16 47,"{'type': 'cp', 'value': -11}"
2r5/3r1pk1/2p3p1/p1Pb1pB1/Pn1P4/6P1/5P2/1R1R2KB w - - 17 48,"{'type': 'cp', 'value': 0}"
2r5/3r1pk1/2p3p1/p1Pb1p2/Pn1P4/4B1P1/5P2/1R1R2KB b - - 18 48,"{'type': 'cp', 'value': -37}"
2r5/3r1pk1/2p3p1/p1P2p2/Pn1P4/4B1P1/5P2/1R1R2Kb w - - 0 49,"{'type': 'cp', 'value': -13}"
2r5/3r1pk1/2p3p1/p1P2p2/Pn1P4/4B1P1/5P2/1R1R3K b - - 0 49,"{'type': 'cp', 'value': -34}"
2r5/3r1pk1/2p3p1/p1Pn1p2/P2P4/4B1P1/5P2/1R1R3K w - - 1 50,"{'type': 'cp', 'value': -28}"
2r5/3r1pk1/2p3p1/p1Pn1p2/P2P4/4B1P1/1R3P2/3R3K b - - 2 50,"{'type': 'cp', 'value': -56}"
2r5/3r2k1/2p2pp1/p1Pn1p2/P2P4/4B1P1/1R3P2/3R3K w - - 0 51,"{'type': 'cp', 'value': -69}"
2r5/3r2k1/2p2pp1/p1Pn1p2/P2P4/4B1P1/1R3P2/1R5K b - - 1 51,"{'type': 'cp', 'value': -65}"
2r5/3r2k1/2p2p2/p1Pn1pp1/P2P4/4B1P1/1R3P2/1R5K w - - 0 52,"{'type': 'cp', 'value': -62}"
2r5/3r2k1/2p2p2/p1Pn1pp1/P2P4/4B1P1/1R3P2/1R4K1 b - - 1 52,"{'type': 'cp', 'value': -101}"
2r5/3r4/2p2pk1/p1Pn1pp1/P2P4/4B1P1/1R3P2/1R4K1 w - - 2 53,"{'type': 'cp', 'value': -88}"
1Rr5/3r4/2p2pk1/p1Pn1pp1/P2P4/4B1P1/5P2/1R4K1 b - - 3 53,"{'type': 'cp', 'value': -114}"
1Rrr4/8/2p2pk1/p1Pn1pp1/P2P4/4B1P1/5P2/1R4K1 w - - 4 54,"{'type': 'cp', 'value': -60}"
2Rr4/8/2p2pk1/p1Pn1pp1/P2P4/4B1P1/5P2/1R4K1 b - - 0 54,"{'type': 'cp', 'value': -53}"
2r5/8/2p2pk1/p1Pn1pp1/P2P4/4B1P1/5P2/1R4K1 w - - 0 55,"{'type': 'cp', 'value': -51}"
2r5/8/2p2pk1/p1Pn1pp1/P2P4/4B1P1/5P2/R5K1 b - - 1 55,"{'type': 'cp', 'value': -48}"
r7/8/2p2pk1/p1Pn1pp1/P2P4/4B1P1/5P2/R5K1 w - - 2 56,"{'type': 'cp', 'value': -27}"
